# QR-SHIELD Malicious URL Test Dataset
# Format: url,expected_verdict,category,description
# expected_verdict: MALICIOUS or SUSPICIOUS
# 
# This dataset tests real-world phishing patterns observed in the wild.
# Sources: PhishTank patterns, OpenPhish patterns, brand impersonation studies
#
# Categories:
# - TYPOSQUATTING: Misspelled brand names
# - HOMOGRAPH: Character substitution (0 for O, 1 for l)
# - SUBDOMAIN_ABUSE: Legitimate brand in subdomain, malicious TLD
# - RISKY_TLD: Free/cheap TLDs commonly abused (.tk, .ml, .ga, .cf, .gq)
# - URL_SHORTENER: Shortened URLs hiding destination
# - BRAND_IMPERSONATION: Fake brand keywords in domain
# - INSECURE: HTTP without HTTPS for sensitive pages
# - SUSPICIOUS_PATH: Login/verify paths on untrusted domains
# - COMBO: Multiple red flags combined

url,expected_verdict,category,description
https://secure-paypa1.com/login,MALICIOUS,HOMOGRAPH,PayPal with 1 instead of l
https://www.faceb00k-security.com/verify,MALICIOUS,HOMOGRAPH,Facebook with 00 instead of oo
https://amaz0n-support.com/account,MALICIOUS,HOMOGRAPH,Amazon with 0 instead of o
https://g00gle-verify.com/signin,MALICIOUS,HOMOGRAPH,Google with 00 instead of oo
https://micros0ft-support.com/office365,MALICIOUS,HOMOGRAPH,Microsoft with 0 instead of o
https://app1e-id.com/verify,MALICIOUS,HOMOGRAPH,Apple with 1 instead of l
https://netf1ix-billing.com/update,MALICIOUS,HOMOGRAPH,Netflix with 1 instead of l
https://1inkedin-verify.com/login,MALICIOUS,HOMOGRAPH,LinkedIn with 1 instead of L
https://twltter.com/login,MALICIOUS,TYPOSQUATTING,Twitter with l instead of i
https://gooogle.com/search,MALICIOUS,TYPOSQUATTING,Google with extra o
https://facebok.com/login,MALICIOUS,TYPOSQUATTING,Facebook missing o
https://amazom.com/orders,MALICIOUS,TYPOSQUATTING,Amazon m instead of n
https://paypa1.com/secure,MALICIOUS,TYPOSQUATTING,PayPal with 1
https://mircosoft.com/office,MALICIOUS,TYPOSQUATTING,Microsoft misspelled
https://applle.com/id,MALICIOUS,TYPOSQUATTING,Apple double l
